score,integrated_algebra,global_history,living_environment,english,us_history
0.0,56.0,55.0,66.0,165.0,65.0
1.0,,8.0,3.0,69.0,4.0
2.0,1.0,9.0,2.0,237.0,16.0
3.0,,3.0,1.0,190.0,10.0
4.0,3.0,15.0,1.0,109.0,6.0
5.0,2.0,11.0,10.0,122.0,8.0
6.0,4.0,29.0,3.0,151.0,7.0
7.0,1.0,37.0,2.0,175.0,12.0
8.0,24.0,53.0,6.0,197.0,16.0
9.0,3.0,49.0,3.0,175.0,28.0
10.0,,64.0,8.0,227.0,34.0
11.0,6.0,83.0,11.0,217.0,58.0
12.0,23.0,87.0,7.0,28.0,67.0
13.0,1.0,54.0,16.0,230.0,42.0
14.0,3.0,145.0,18.0,303.0,57.0
15.0,58.0,151.0,50.0,192.0,98.0
16.0,1.0,129.0,13.0,156.0,125.0
17.0,73.0,214.0,59.0,163.0,115.0
18.0,26.0,267.0,18.0,210.0,30.0
19.0,1.0,127.0,100.0,172.0,118.0
20.0,28.0,271.0,24.0,404.0,153.0
21.0,185.0,248.0,140.0,237.0,202.0
22.0,1.0,411.0,45.0,235.0,136.0
23.0,170.0,433.0,191.0,433.0,214.0
24.0,98.0,254.0,56.0,246.0,177.0
25.0,49.0,570.0,250.0,256.0,162.0
26.0,328.0,657.0,103.0,267.0,332.0
27.0,73.0,515.0,301.0,298.0,284.0
28.0,359.0,280.0,401.0,339.0,248.0
29.0,215.0,868.0,87.0,294.0,281.0
30.0,147.0,1063.0,499.0,344.0,446.0
31.0,670.0,804.0,80.0,402.0,602.0
32.0,147.0,579.0,562.0,695.0,123.0
33.0,643.0,1069.0,777.0,84.0,515.0
34.0,421.0,1423.0,10.0,733.0,659.0
35.0,312.0,222.0,921.0,99.0,459.0
36.0,1181.0,1572.0,174.0,784.0,361.0
37.0,1179.0,1474.0,881.0,2.0,887.0
38.0,784.0,1890.0,1116.0,546.0,587.0
39.0,548.0,341.0,15.0,586.0,391.0
40.0,1608.0,1999.0,1242.0,1010.0,1082.0
41.0,394.0,1773.0,1406.0,715.0,730.0
42.0,2401.0,2180.0,21.0,630.0,614.0
43.0,229.0,356.0,1540.0,681.0,1021.0
44.0,2545.0,2348.0,1706.0,619.0,845.0
45.0,518.0,2095.0,29.0,113.0,1234.0
46.0,2993.0,1160.0,1735.0,1290.0,775.0
47.0,328.0,1714.0,1910.0,131.0,937.0
48.0,3229.0,2526.0,342.0,1717.0,1392.0
49.0,4217.0,2162.0,1592.0,159.0,792.0
50.0,424.0,1043.0,2063.0,2016.0,1030.0
51.0,3471.0,1526.0,2023.0,111.0,1174.0
52.0,585.0,1779.0,300.0,1577.0,631.0
53.0,3557.0,1934.0,1607.0,133.0,790.0
54.0,2428.0,243.0,1534.0,1493.0,912.0
55.0,2240.0,3765.0,3589.0,249.0,1311.0
56.0,4997.0,2901.0,1244.0,2908.0,1752.0
57.0,2313.0,1361.0,2453.0,244.0,2363.0
58.0,4018.0,2191.0,1610.0,3304.0,791.0
59.0,2200.0,2383.0,2357.0,2896.0,1455.0
60.0,2464.0,1812.0,1797.0,114.0,1289.0
61.0,3114.0,406.0,1717.0,1613.0,335.0
62.0,2540.0,635.0,1343.0,83.0,544.0
63.0,1389.0,709.0,823.0,1185.0,566.0
64.0,102.0,349.0,237.0,1.0,101.0
65.0,8451.0,6392.0,7978.0,6084.0,4749.0
66.0,3959.0,564.0,3133.0,345.0,2992.0
67.0,3546.0,5063.0,2400.0,6393.0,3717.0
68.0,3020.0,4338.0,2218.0,182.0,1201.0
69.0,4773.0,2611.0,2178.0,3918.0,1827.0
70.0,2625.0,213.0,2473.0,2004.0,2295.0
71.0,2429.0,2357.0,2133.0,2069.0,479.0
72.0,2296.0,2343.0,1840.0,1735.0,2118.0
73.0,3772.0,2062.0,3111.0,1960.0,1706.0
74.0,1725.0,1706.0,1946.0,1606.0,2023.0
75.0,3653.0,404.0,1758.0,2634.0,417.0
76.0,2568.0,1936.0,2952.0,4818.0,1983.0
77.0,2638.0,1845.0,1636.0,2221.0,1918.0
78.0,3126.0,1593.0,1448.0,2235.0,1554.0
79.0,2113.0,237.0,2583.0,3699.0,1901.0
80.0,2641.0,1799.0,1438.0,1653.0,385.0
81.0,2475.0,1728.0,2481.0,1838.0,1761.0
82.0,2226.0,1511.0,1118.0,1374.0,1651.0
83.0,1439.0,1268.0,2139.0,1515.0,1690.0
84.0,2313.0,143.0,916.0,1150.0,1326.0
85.0,612.0,1610.0,1320.0,3145.0,1713.0
86.0,1636.0,1390.0,2019.0,1521.0,1608.0
87.0,928.0,1402.0,940.0,2515.0,1545.0
88.0,884.0,1212.0,1841.0,1090.0,231.0
89.0,473.0,1093.0,789.0,1790.0,1382.0
90.0,744.0,1116.0,1718.0,1069.0,1356.0
91.0,412.0,1029.0,689.0,871.0,1252.0
92.0,312.0,924.0,690.0,1331.0,1251.0
93.0,308.0,890.0,1211.0,1400.0,1187.0
94.0,248.0,714.0,462.0,827.0,1059.0
95.0,242.0,1388.0,457.0,521.0,1083.0
96.0,125.0,547.0,403.0,729.0,972.0
97.0,110.0,1229.0,446.0,1071.0,3039.0
98.0,55.0,764.0,87.0,171.0,2074.0
99.0,19.0,499.0,,638.0,1710.0
100.0,,,,,
,148.0,65.0,95.0,86.0,83.0
