day,margin
-155,0.02
-153,0.03
-152,0.065
-151,0.06
-150,0.07
-149,0.05
-147,0.035
-146,0.06
-145,0.0266666666666667
-144,0.03
-143,0.04
-142,0.06
-141,0.0366666666666667
-140,0.035
-139,0.09
-138,0.12
-137,0.045
-135,0.04
-134,0.02
-131,0.06
-128,0.05
-127,0.04
-126,0.03
-125,0.06
-124,0.065
-120,0.0325
-119,0.055
-118,0.05
-117,0.03
-116,0.00999999999999995
-114,0.03
-113,0.0
-112,0.05
-111,0.02
-110,0.02
-109,0.06
-108,0.03
-107,0.02
-106,0.06
-105,0.04
-104,0.055
-102,0.0533333333333333
-101,0.00999999999999995
-100,0.07
-99,0.0633333333333333
-98,0.00999999999999995
-96,0.0333333333333333
-95,0.04
-93,0.02
-92,0.03
-90,0.05
-89,0.02
-87,0.05
-86,0.005
-85,0.00999999999999995
-84,0.0233333333333333
-83,0.01
-82,-0.05
-81,0.0275
-80,0.02
-78,0.02
-77,0.0266666666666666
-75,0.015
-74,0.03
-73,0.01
-72,0.01
-71,0.025
-69,0.06
-68,0.03
-67,0.04
-66,0.06
-64,0.0375
-63,0.0433333333333333
-61,-0.03
-60,-0.02875
-59,-0.00333333333333337
-58,-0.0133333333333333
-57,-0.0060000000000000105
-56,0.0
-55,-0.0125
-54,0.0116666666666666
-53,0.035
-52,3.7007434154171895e-17
-51,0.0133333333333333
-50,-0.01
-49,0.03
-48,0.045
-47,0.0
-46,0.05
-45,0.0266666666666667
-44,0.05
-43,0.0333333333333333
-42,0.0266666666666667
-40,0.05
-39,0.052000000000000005
-38,0.0583333333333333
-37,0.045
-36,0.09
-34,0.0625
-33,0.075
-32,0.0475
-31,0.048
-30,0.08
-29,0.05
-28,0.0833333333333334
-27,0.095
-26,0.08
-25,0.08
-24,0.0675
-23,0.05
-22,0.0575
-21,0.07
-20,0.045
-19,0.0716666666666667
-18,0.0616666666666667
-17,0.0725
-16,0.0875
-15,0.0716666666666667
-14,0.09
-13,0.07400000000000001
-12,0.1
-10,0.07
-9,0.0566666666666667
-8,0.045
-7,0.065
-6,0.0625
-5,0.076
-4,0.09
-3,0.07
-2,0.07
-1,0.09
