state,startdate,enddate,pollster,grade,samplesize,population,rawpoll_clinton,rawpoll_trump,rawpoll_johnson,rawpoll_mcmullin,adjpoll_clinton,adjpoll_trump,adjpoll_johnson,adjpoll_mcmullin
U.S.,2016-11-03,2016-11-06,ABC News/Washington Post,A+,2220.0,lv,47.0,43.0,4.0,,45.20163,41.7243,4.626221,
U.S.,2016-11-01,2016-11-07,Google Consumer Surveys,B,26574.0,lv,38.03,35.69,5.46,,43.34557,41.21439,5.1757919999999995,
U.S.,2016-11-02,2016-11-06,Ipsos,A-,2195.0,lv,42.0,39.0,6.0,,42.026379999999996,38.8162,6.844734,
U.S.,2016-11-04,2016-11-07,YouGov,B,3677.0,lv,45.0,41.0,5.0,,45.65676,40.92004,6.069454,
U.S.,2016-11-03,2016-11-06,Gravis Marketing,B-,16639.0,rv,47.0,43.0,3.0,,46.84089,42.33184,3.7260980000000004,
U.S.,2016-11-03,2016-11-06,Fox News/Anderson Robbins Research/Shaw & Company Research,A,1295.0,lv,48.0,44.0,3.0,,49.022079999999995,43.956309999999995,3.057876,
U.S.,2016-11-02,2016-11-06,CBS News/New York Times,A-,1426.0,lv,45.0,41.0,5.0,,45.11649,40.92722,4.341786,
U.S.,2016-11-03,2016-11-05,NBC News/Wall Street Journal,A-,1282.0,lv,44.0,40.0,6.0,,43.58576,40.77325,5.365787999999999,
New Mexico,2016-11-06,2016-11-06,Zia Poll,,8439.0,lv,46.0,44.0,6.0,,44.82594,41.599779999999996,7.870127,
U.S.,2016-11-04,2016-11-07,IBD/TIPP,A-,1107.0,lv,41.2,42.7,7.1,,42.92745,42.23545,6.316175,
U.S.,2016-11-04,2016-11-06,Selzer & Company,A+,799.0,lv,44.0,41.0,4.0,,44.21714,40.57082,4.068708,
U.S.,2016-11-01,2016-11-04,Angus Reid Global,A-,1151.0,lv,48.0,44.0,6.0,,47.571709999999996,43.68125,5.556625,
U.S.,2016-11-03,2016-11-06,Monmouth University,A+,748.0,lv,50.0,44.0,4.0,,48.86765,43.396,4.8386,
Virginia,2016-11-03,2016-11-04,Public Policy Polling,B+,1238.0,lv,48.0,43.0,1.0,,47.43805,42.32751,2.207659,
U.S.,2016-11-01,2016-11-03,Marist College,A,940.0,lv,44.0,43.0,6.0,,42.83406,43.438190000000006,4.780429,
Iowa,2016-11-01,2016-11-04,Selzer & Company,A+,800.0,lv,39.0,46.0,6.0,,39.375609999999995,45.66917,6.062713,
U.S.,2016-11-05,2016-11-07,The Times-Picayune/Lucid,,2521.0,lv,45.0,40.0,5.0,,45.13966,42.26495,3.679914,
Wisconsin,2016-10-26,2016-10-31,Marquette University,A,1255.0,lv,46.0,40.0,4.0,,46.10344,40.979820000000004,2.897062,
North Carolina,2016-11-04,2016-11-06,Siena College,A,800.0,lv,44.0,44.0,3.0,,44.21875,45.0829,2.33525,
Georgia,2016-11-06,2016-11-06,Landmark Communications,B,1200.0,lv,46.0,49.0,3.0,,45.0647,48.80363,3.662548,
Florida,2016-11-03,2016-11-06,Quinnipiac University,A-,884.0,lv,46.0,45.0,2.0,,46.44315,43.93999,2.0983099999999997,
North Carolina,2016-11-03,2016-11-06,Quinnipiac University,A-,870.0,lv,47.0,45.0,3.0,,47.43742,43.93745,3.0983099999999997,
Virginia,2016-10-27,2016-10-30,ABC News/Washington Post,A+,1024.0,lv,48.0,42.0,6.0,,46.39152,41.58078,6.088089,
U.S.,2016-11-01,2016-11-07,USC Dornsife/LA Times,,2972.0,lv,43.61,46.84,,,45.32156,43.38579,,
Georgia,2016-11-03,2016-11-06,Gravis Marketing,B-,2002.0,rv,44.0,48.0,3.0,,43.83075,47.32734,3.7260980000000004,
Oregon,2016-11-03,2016-11-06,Gravis Marketing,B-,1963.0,rv,44.0,40.0,6.0,,43.84735,39.334720000000004,6.7260979999999995,
U.S.,2016-11-01,2016-11-05,"RKM Research and Communications, Inc.",B+,1009.0,lv,47.6,44.4,4.3,,47.63973,43.1608,4.761112000000001,
Ohio,2016-11-03,2016-11-06,Gravis Marketing,B-,1781.0,rv,42.0,48.0,4.0,,41.84073,47.33178,4.726098,
South Carolina,2016-11-03,2016-11-06,Gravis Marketing,B-,1751.0,rv,43.0,48.0,3.0,,42.831070000000004,47.32748,3.7260980000000004,
Ohio,2016-11-02,2016-11-04,YouGov,B,1189.0,lv,45.0,46.0,,,44.936240000000005,45.09646,,
Virginia,2016-11-01,2016-11-02,Remington,,3076.0,lv,46.0,44.0,,,45.273990000000005,41.914590000000004,,
New York,2016-11-03,2016-11-06,Gravis Marketing,B-,1681.0,rv,55.0,36.0,2.0,,54.84194,35.33231,2.726098,
Michigan,2016-11-03,2016-11-04,Public Policy Polling,B+,957.0,lv,46.0,41.0,6.0,,45.44545,40.33095,7.207659,
