disease,state,year,weeks_reporting,count,population
Hepatitis A,Alabama,1966,50,321,3345787.0
Hepatitis A,Alabama,1967,49,291,3364130.0
Hepatitis A,Alabama,1968,52,314,3386068.0
Hepatitis A,Alabama,1969,49,380,3412450.0
Hepatitis A,Alabama,1970,51,413,3444165.0
Hepatitis A,Alabama,1971,51,378,3481798.0
Hepatitis A,Alabama,1972,45,342,3524543.0
Hepatitis A,Alabama,1973,45,467,3571209.0
Hepatitis A,Alabama,1974,45,244,3620548.0
Hepatitis A,Alabama,1975,46,286,3671246.0
Hepatitis A,Alabama,1976,50,220,3721914.0
Hepatitis A,Alabama,1977,43,206,3771085.0
Hepatitis A,Alabama,1978,41,203,3817217.0
Hepatitis A,Alabama,1979,47,257,3858703.0
Hepatitis A,Alabama,1980,37,200,3893888.0
Hepatitis A,Alabama,1981,40,138,3921581.0
Hepatitis A,Alabama,1982,43,128,3942588.0
Hepatitis A,Alabama,1983,43,178,3958271.0
Hepatitis A,Alabama,1984,35,115,3970041.0
Hepatitis A,Alabama,1985,22,37,3979341.0
Hepatitis A,Alabama,1986,26,51,3987637.0
Hepatitis A,Alabama,1987,36,81,3996407.0
Hepatitis A,Alabama,1988,20,13,4007144.0
Hepatitis A,Alabama,1989,32,56,4021358.0
Hepatitis A,Alabama,1990,41,86,4040587.0
Hepatitis A,Alabama,1991,38,39,4066003.0
Hepatitis A,Alabama,1992,34,35,4097169.0
Hepatitis A,Alabama,1993,27,40,4133242.0
Hepatitis A,Alabama,1994,29,72,4173361.0
Hepatitis A,Alabama,1995,38,75,4216645.0
Hepatitis A,Alabama,1996,44,196,4262177.0
Hepatitis A,Alabama,1997,26,40,4309007.0
Hepatitis A,Alabama,1998,34,64,4356137.0
Hepatitis A,Alabama,1999,35,52,4402529.0
Hepatitis A,Alabama,2000,42,53,4447100.0
Hepatitis A,Alabama,2001,41,66,4488959.0
Hepatitis A,Alabama,2002,47,35,4528129.0
Hepatitis A,Alabama,2003,47,14,4564878.0
Hepatitis A,Alabama,2004,41,6,4599490.0
Hepatitis A,Alabama,2005,47,34,4632262.0
Hepatitis A,Alabama,2006,42,17,4663504.0
Hepatitis A,Alabama,2007,48,20,4693536.0
Hepatitis A,Alabama,2008,49,10,4722691.0
Hepatitis A,Alabama,2009,49,10,4751307.0
Hepatitis A,Alabama,2010,51,8,4779736.0
Hepatitis A,Alabama,2011,27,7,4808274.0
Hepatitis A,Alaska,1966,34,90,268476.0
Hepatitis A,Alaska,1967,22,39,276180.0
Hepatitis A,Alaska,1968,31,84,284068.0
Hepatitis A,Alaska,1969,32,63,292136.0
Hepatitis A,Alaska,1970,32,113,300382.0
Hepatitis A,Alaska,1971,28,96,308810.0
Hepatitis A,Alaska,1972,37,199,317458.0
Hepatitis A,Alaska,1973,32,225,326376.0
Hepatitis A,Alaska,1974,30,248,335621.0
Hepatitis A,Alaska,1975,37,409,345253.0
Hepatitis A,Alaska,1976,13,1094,355341.0
Hepatitis A,Alaska,1977,39,551,365958.0
Hepatitis A,Alaska,1978,39,125,377187.0
Hepatitis A,Alaska,1979,28,61,389118.0
Hepatitis A,Alaska,1980,14,18,401851.0
Hepatitis A,Alaska,1981,22,45,415458.0
Hepatitis A,Alaska,1982,15,17,429850.0
Hepatitis A,Alaska,1983,22,43,444879.0
Hepatitis A,Alaska,1984,11,14,460375.0
Hepatitis A,Alaska,1985,12,18,476138.0
Hepatitis A,Alaska,1986,21,66,491942.0
Hepatitis A,Alaska,1987,47,240,507531.0
Hepatitis A,Alaska,1988,22,268,522622.0
Hepatitis A,Alaska,1989,33,494,536903.0
Hepatitis A,Alaska,1990,39,167,550043.0
Hepatitis A,Alaska,1991,37,80,561769.0
Hepatitis A,Alaska,1992,32,65,572122.0
Hepatitis A,Alaska,1993,24,374,581250.0
Hepatitis A,Alaska,1994,29,163,589317.0
Hepatitis A,Alaska,1995,39,38,596513.0
Hepatitis A,Alaska,1996,41,46,603039.0
Hepatitis A,Alaska,1997,24,20,609112.0
Hepatitis A,Alaska,1998,30,6,614959.0
Hepatitis A,Alaska,1999,36,7,620817.0
Hepatitis A,Alaska,2000,39,8,626932.0
Hepatitis A,Alaska,2001,40,10,633510.0
Hepatitis A,Alaska,2002,42,11,640570.0
Hepatitis A,Alaska,2003,44,8,648078.0
Hepatitis A,Alaska,2004,43,4,656003.0
Hepatitis A,Alaska,2005,44,3,664309.0
Hepatitis A,Alaska,2006,0,0,672961.0
Hepatitis A,Alaska,2007,42,3,681920.0
Hepatitis A,Alaska,2008,41,3,691147.0
Hepatitis A,Alaska,2009,46,6,700599.0
Hepatitis A,Alaska,2010,24,4,710231.0
Hepatitis A,Alaska,2011,38,1,720004.0
Hepatitis A,Arizona,1966,50,415,1572291.0
Hepatitis A,Arizona,1967,48,390,1615310.0
Hepatitis A,Arizona,1968,50,425,1661517.0
Hepatitis A,Arizona,1969,49,528,1712707.0
Hepatitis A,Arizona,1970,50,615,1770900.0
Hepatitis A,Arizona,1971,51,896,1837891.0
Hepatitis A,Arizona,1972,46,660,1913632.0
Hepatitis A,Arizona,1973,22,160,1997501.0
Hepatitis A,Arizona,1974,49,512,2088732.0
Hepatitis A,Arizona,1975,50,437,2186365.0
Hepatitis A,Arizona,1976,51,560,2289201.0
Hepatitis A,Arizona,1977,51,929,2395761.0
Hepatitis A,Arizona,1978,48,1137,2504256.0
Hepatitis A,Arizona,1979,50,1788,2612561.0
Hepatitis A,Arizona,1980,33,635,2718215.0
Hepatitis A,Arizona,1981,43,434,2819039.0
Hepatitis A,Arizona,1982,41,514,2915148.0
Hepatitis A,Arizona,1983,44,845,3007444.0
Hepatitis A,Arizona,1984,46,721,3097045.0
Hepatitis A,Arizona,1985,42,1013,3185267.0
Hepatitis A,Arizona,1986,37,1015,3273618.0
Hepatitis A,Arizona,1987,47,1925,3363792.0
Hepatitis A,Arizona,1988,23,972,3457679.0
Hepatitis A,Arizona,1989,33,2009,3557380.0
Hepatitis A,Arizona,1990,42,1645,3665228.0
Hepatitis A,Arizona,1991,37,837,3783229.0
Hepatitis A,Arizona,1992,35,761,3911122.0
Hepatitis A,Arizona,1993,26,662,4047937.0
Hepatitis A,Arizona,1994,29,934,4192532.0
Hepatitis A,Arizona,1995,40,990,4343559.0
Hepatitis A,Arizona,1996,43,1397,4499438.0
Hepatitis A,Arizona,1997,27,1078,4658333.0
Hepatitis A,Arizona,1998,35,1224,4818136.0
Hepatitis A,Arizona,1999,36,601,4976457.0
Hepatitis A,Arizona,2000,41,399,5130632.0
Hepatitis A,Arizona,2001,40,341,5278300.0
Hepatitis A,Arizona,2002,46,313,5419266.0
Hepatitis A,Arizona,2003,44,237,5554021.0
Hepatitis A,Arizona,2004,44,210,5683195.0
Hepatitis A,Arizona,2005,47,240,5807553.0
Hepatitis A,Arizona,2006,44,69,5927979.0
Hepatitis A,Arizona,2007,51,163,6045475.0
Hepatitis A,Arizona,2008,47,101,6161152.0
Hepatitis A,Arizona,2009,48,72,6276227.0
Hepatitis A,Arizona,2010,48,72,6392017.0
Hepatitis A,Arizona,2011,48,19,6509700.0
Hepatitis A,Arkansas,1966,52,299,1826028.0
Hepatitis A,Arkansas,1967,47,295,1844745.0
Hepatitis A,Arkansas,1968,38,166,1867112.0
Hepatitis A,Arkansas,1969,34,189,1893248.0
Hepatitis A,Arkansas,1970,42,212,1923295.0
Hepatitis A,Arkansas,1971,46,236,1957252.0
Hepatitis A,Arkansas,1972,46,278,1994452.0
Hepatitis A,Arkansas,1973,44,141,2034009.0
Hepatitis A,Arkansas,1974,49,444,2074967.0
Hepatitis A,Arkansas,1975,49,409,2116289.0
Hepatitis A,Arkansas,1976,50,449,2156856.0
Hepatitis A,Arkansas,1977,47,406,2195463.0
Hepatitis A,Arkansas,1978,46,204,2230829.0
Hepatitis A,Arkansas,1979,50,260,2261613.0
Hepatitis A,Arkansas,1980,36,240,2286435.0
Hepatitis A,Arkansas,1981,48,215,2304331.0
Hepatitis A,Arkansas,1982,30,74,2316088.0
Hepatitis A,Arkansas,1983,32,57,2322996.0
Hepatitis A,Arkansas,1984,30,98,2326399.0
Hepatitis A,Arkansas,1985,19,46,2327671.0
Hepatitis A,Arkansas,1986,29,87,2328197.0
Hepatitis A,Arkansas,1987,31,191,2329366.0
Hepatitis A,Arkansas,1988,22,135,2332569.0
Hepatitis A,Arkansas,1989,32,167,2339212.0
Hepatitis A,Arkansas,1990,41,420,2350725.0
Hepatitis A,Arkansas,1991,38,163,2368201.0
Hepatitis A,Arkansas,1992,35,83,2391223.0
Hepatitis A,Arkansas,1993,27,29,2418991.0
Hepatitis A,Arkansas,1994,27,85,2450696.0
Hepatitis A,Arkansas,1995,35,425,2485501.0
Hepatitis A,Arkansas,1996,43,446,2522529.0
Hepatitis A,Arkansas,1997,26,88,2560848.0
Hepatitis A,Arkansas,1998,34,63,2599475.0
Hepatitis A,Arkansas,1999,36,62,2637361.0
Hepatitis A,Arkansas,2000,41,95,2673400.0
Hepatitis A,Arkansas,2001,41,58,2706668.0
Hepatitis A,Arkansas,2002,47,50,2737163.0
Hepatitis A,Arkansas,2003,36,17,2765142.0
Hepatitis A,Arkansas,2004,46,52,2790880.0
Hepatitis A,Arkansas,2005,44,17,2814674.0
Hepatitis A,Arkansas,2006,41,23,2836837.0
Hepatitis A,Arkansas,2007,44,11,2857696.0
Hepatitis A,Arkansas,2008,36,4,2877593.0
Hepatitis A,Arkansas,2009,44,5,2896879.0
Hepatitis A,Arkansas,2010,8,0,2915918.0
Hepatitis A,Arkansas,2011,3,0,2935019.0
Hepatitis A,California,1966,52,5933,18429575.0
Hepatitis A,California,1967,52,7480,18831882.0
Hepatitis A,California,1968,52,10821,19219725.0
Hepatitis A,California,1969,50,9051,19593348.0
Hepatitis A,California,1970,50,9422,19953134.0
Hepatitis A,California,1971,51,9623,20300216.0
Hepatitis A,California,1972,47,7190,20638390.0
Hepatitis A,California,1973,49,6875,20972407.0
Hepatitis A,California,1974,48,5547,21307362.0
Hepatitis A,California,1975,51,5134,21648695.0
Hepatitis A,California,1976,51,5590,22002198.0
Hepatitis A,California,1977,44,4741,22374038.0
Hepatitis A,California,1978,45,4301,22770801.0
Hepatitis A,California,1979,44,4101,23199549.0
Hepatitis A,California,1980,33,3673,23667902.0
Hepatitis A,California,1981,44,5147,24181703.0
Hepatitis A,California,1982,44,3726,24737390.0
Hepatitis A,California,1983,42,3922,25328529.0
Hepatitis A,California,1984,43,6021,25948031.0
Hepatitis A,California,1985,39,5371,26588046.0
Hepatitis A,California,1986,39,5802,27239883.0
Hepatitis A,California,1987,45,5956,27893955.0
Hepatitis A,California,1988,23,2717,28539754.0
Hepatitis A,California,1989,34,4692,29165865.0
Hepatitis A,California,1990,42,4870,29760021.0
Hepatitis A,California,1991,36,3791,30311890.0
Hepatitis A,California,1992,36,3594,30821629.0
Hepatitis A,California,1993,26,2674,31292538.0
Hepatitis A,California,1994,27,3367,31728420.0
Hepatitis A,California,1995,41,5130,32133526.0
Hepatitis A,California,1996,45,5547,32512506.0
Hepatitis A,California,1997,28,4438,32870358.0
Hepatitis A,California,1998,35,2803,33212395.0
Hepatitis A,California,1999,38,2349,33544208.0
Hepatitis A,California,2000,39,2261,33871648.0
Hepatitis A,California,2001,40,1599,34199784.0
Hepatitis A,California,2002,49,1364,34529758.0
Hepatitis A,California,2003,46,1045,34861711.0
Hepatitis A,California,2004,48,788,35195792.0
Hepatitis A,California,2005,49,905,35532154.0
Hepatitis A,California,2006,52,688,35870957.0
Hepatitis A,California,2007,51,312,36212364.0
Hepatitis A,California,2008,52,337,36556548.0
Hepatitis A,California,2009,52,239,36903684.0
Hepatitis A,California,2010,49,201,37253956.0
Hepatitis A,California,2011,49,176,37607525.0
