"","file","class","nobs","nvar","title"
"1","AllstarFull","data.frame",4993,8,"AllstarFull table"
"2","Appearances","data.frame",99466,21,"Appearances table"
"3","AwardsManagers","data.frame",171,6,"AwardsManagers table"
"4","AwardsPlayers","data.frame",6026,6,"AwardsPlayers table"
"5","AwardsShareManagers","data.frame",401,7,"AwardsShareManagers table"
"6","AwardsSharePlayers","data.frame",6705,7,"AwardsSharePlayers table"
"7","Batting","data.frame",99846,22,"Batting table"
"8","BattingPost","data.frame",11294,22,"BattingPost table"
"9","CollegePlaying","data.frame",17350,3,"CollegePlaying table"
"10","Fielding","data.frame",167938,18,"Fielding table"
"11","FieldingOF","data.frame",12028,6,"FieldingOF table"
"12","FieldingPost","data.frame",11924,17,"FieldingPost data"
"13","HallOfFame","data.frame",4088,9,"Hall of Fame Voting Data"
"14","Managers","data.frame",3370,10,"Managers table"
"15","ManagersHalf","data.frame",93,10,"ManagersHalf table"
"16","Master","data.frame",18589,26,"Master table"
"17","Pitching","data.frame",43330,30,"Pitching table"
"18","PitchingPost","data.frame",4945,30,"PitchingPost table"
"19","Salaries","data.frame",24758,5,"Salaries table"
"20","Schools","data.frame",1207,5,"Schools table"
"21","SeriesPost","data.frame",298,9,"SeriesPost table"
"22","Teams","data.frame",2775,48,"Teams table"
"23","TeamsFranchises","data.frame",120,4,"TeamFranchises table"
"24","TeamsHalf","data.frame",52,10,"TeamsHalf table"
